Title,Video ID,Published At,Views,Category,Type
IShowSpeed - Ronaldo [SEWEY] (Official Music Video) {“Prod. DJ Telly Tellz”},o5nnBM3WH-Q,2 years ago,36643167,,NORMAL
IShowSpeed - God is Good (Official Music Video),KlPmi1YWizc,3 years ago,22355314,,NORMAL
i’m quitting youtube….💔,Hx0FwbKh2FY,3 years ago,4311157,,NORMAL
got booted,kcPBOWzKW94,3 years ago,1696329,,NORMAL
IShowSpeed - F.U.C. (Official Music Video) {Prod. syzy} (TWERKNATION28) @ShotBySlipz,VPhug8z_UUM,3 years ago,4047348,,NORMAL
IShowSpeed - Shake Pt.2  (Official Music Video)  {Prod. DJ Shawny} @ShotBySlipz,9OyT9SlKaFY,3 years ago,26934012,,NORMAL
yessir speedgang4L❤️,UxdUCYmh5oU,3 years ago,822561,,NORMAL
i can’t stream no more💔 (help),cOQAAvT1RlA,3 years ago,1729251,,NORMAL
SCARY GAME FNAF + OMEGLE *RARE DELETED STREAM**,eZRYyi8rfIU,3 years ago,1859164,,NORMAL
IShowSpeed - One Piece (Official Music Video) {Prod. M4RSHALL},_NY3dYtWPcY,3 years ago,4137524,,NORMAL
IShowSpeed - I Dont Like You (Official Music Video) {Prod : Ronio},FFPSMcYsf1I,3 years ago,854317,,NORMAL
IShowSpeed & Yahnnis - How I Feel (Official Music Video) {Prod : RicoGotThatFye},0_GxhbN2Uow,3 years ago,752947,,NORMAL
IShowSpeed - Love In These Streets (Official Music Video),GEO6UvjSgjU,3 years ago,1700623,,NORMAL
IShowSpeed - Shake (Official Music Video),wYZux3BMc5k,3 years ago,227676271,,NORMAL
i’m apologize for all the crime i have committed,jJazmDfRAQA,3 years ago,418182,,NORMAL
ava came back **deleted stream**,6dMMET40I8M,3 years ago,2135376,,NORMAL
i gotta stop💔,HLfnXkIatVY,3 years ago,534634,,NORMAL
IShowSpeed - NFL Freestyle (Official Music Video) @StreetShark00,hTJZ9cj7w_Q,3 years ago,3199053,,NORMAL
IShowSpeed - One More Chance (Official Audio),Ib2eJ8AAtwU,3 years ago,765186,,NORMAL
.,WLj1oJV381U,3 years ago,603128,,NORMAL
im quitting basketball,cH4mrYa91GA,3 years ago,275507,,NORMAL
bald,UbeKx5s3RGU,3 years ago,1017548,,NORMAL
IShowSpeed - Bounce That A$$ (Official Music Video),65ZbbS8Xa6w,3 years ago,24365953,,NORMAL
💔,tsPNG_uqAqc,3 years ago,1020498,,NORMAL
why i’m not dating no more…..💔,Z3Ci-zuW7kc,3 years ago,854003,,NORMAL
speed vs cash nasty irl basketball,r2VeR2xx6qg,3 years ago,2572084,,NORMAL
the truth…. am i homo,ZAgBbAbpUJY,3 years ago,1972437,,NORMAL
forcing bronny into submission,_kGlS94F43U,3 years ago,1242980,,NORMAL
IShowSpeed - Dooty Booty (Official Music Video) [Prod TgX],H4-EPbqExLA,3 years ago,7027212,,NORMAL
meet my new gf... *DELETED STREAM*,0fYuTiakRDM,3 years ago,2288226,,NORMAL
just please stop💔 **serious**,GQ8onQfSwWE,3 years ago,1144824,,NORMAL
IShowSpeed & Jay Cinco - Lying (Official Music Video),p-msbu0PX4g,3 years ago,4301506,,NORMAL
booted,1N1NwDIEOO8,3 years ago,338580,,NORMAL
sorry i might have to move💔,Hvr8AZS0hUw,3 years ago,545119,,NORMAL
speed vs adin & faze rug irl 1v1 basketball,H4z8y_2Ti50,3 years ago,2497688,,NORMAL
speed vs adin 1v1 basketball,fTYx-lOn-u4,3 years ago,5988569,,NORMAL
irl 1v1 basketball Vs my ex boyfriend girlfriend,pMuL982Qe60,3 years ago,392068,,NORMAL
irl 1v1 basketball,FC33nefuX1M,3 years ago,383250,,NORMAL
i failed y’all💔,iUOXEYhhOfU,3 years ago,890691,,NORMAL
this is crazy💔,F7h8DhFnoWc,3 years ago,304584,,NORMAL
this is really the end💔.....i just can’t mono,nH8pgLCYTlY,3 years ago,248960,,NORMAL
my dad got exposed💔,HfZ5YHiwtsw,3 years ago,711091,,NORMAL
i’m sorry💔 **update**,NiCL0e-UFUc,4 years ago,165626,,NORMAL
goodbye👋🏽,InKc2_Kg1x4,4 years ago,293057,,NORMAL
let my aunt rest in peace🕊💔,8NB5N23DMcc,4 years ago,256571,,NORMAL
i just found out i’m a famous meme on tiktok..💔 “JUST GIVE IT TO ME”,uTEbNWh2w94,4 years ago,587585,,NORMAL
MY $10000 GAMING SETUP TOUR👾 + ROOM TOUR🛏! **room reveal**,bOQ8LyZiTlE,4 years ago,2230081,,NORMAL
bald,1-neUvMyGNs,4 years ago,15533595,,NORMAL
somebody just came up to me......,2jL5Vg36Ey0,4 years ago,166270,,NORMAL
people pullin up to my house💔,bEwAGukBg0U,4 years ago,601890,,NORMAL
i had to leave the house.....,LpkRGnB-Ies,4 years ago,212212,,NORMAL
she cheated on me......💔,CQn11P46BEw,4 years ago,675478,,NORMAL
they think i’m crazy now✌🏽 **cops called**,7ZHTg_bpK44,4 years ago,165632,,NORMAL
they say speed don’t get girls💔 **gf reveal**,mzmK0qPxU9M,4 years ago,311289,,NORMAL
stop🤦🏽‍♂️,--ar1_MSgIU,4 years ago,195418,,NORMAL
i got doxxed💔,fuYlumDzCSU,4 years ago,372891,,NORMAL
Q&A.......? WHAT HAPPENED TO MY AUNT💔? HOW OLD ARE YOU?,NZHI41EeV1c,4 years ago,413233,,NORMAL
i been having this problem since i was little......💔,AgpgXANzRGE,4 years ago,937131,,NORMAL
i finnaly met ADIN ROSS💔! **EMOTINAL**,eT2YfYQNqVc,4 years ago,230312,,NORMAL
my message.....✌🏽,rBgWIGShBSk,4 years ago,107957,,NORMAL
am i better than you at basketball🏀? **PROOF**,ab9nQcIZSUQ,4 years ago,275772,,NORMAL
why💔,Kz04xFynVgA,4 years ago,160915,,NORMAL
**HURRY BEFORE ITS PATCHED** RONNIE PUT A *NEW* VC GLITCH IN NBA2K21🧀! NEW UNLIMITED VC GLITCH NOW!,uksZiy_rYLw,4 years ago,58105,,NORMAL
my backflip💔 **sorry**,NMN_SCsrEF4,4 years ago,457710,,NORMAL
I MADE HIM CRY😢! 1v1 MY BROTHER FOR TALKINH SH*T (irl basketball)! **INTENSE**,LqYlYrIg7KM,4 years ago,514833,,NORMAL
pulling a famous tiktok girl number🥰 **proof**,BFOdZotsZZM,4 years ago,85208,,NORMAL
Mike Wang TOOK MY 50 GAME STREAK IN NBA2K21! I GOT BANNED BECAUSE OF THIS😔! **LIVE REACTION**,5rMcY05lf0c,4 years ago,39725,,NORMAL
the day i made somebody quit football💔? **sad**,9u6Kmos17eo,4 years ago,682555,,NORMAL
i took a shower😢,9awzWnAvRBk,4 years ago,172107,,NORMAL
i can’t believe i dunked😳! **EMOTIONAL**,TUOblrjxWxQ,4 years ago,563899,,NORMAL
MY $10000 GAMING SETUP👾 + HOUSE TOUR🛏!,BuGZl83PSwI,4 years ago,202215,,NORMAL
IShowSpeed Vs SantannaDiffernt 1v1 WAGER $$$! SantannaDifffernt EXPOSED💔?  **INTENSE**,6njKZyb6frQ,4 years ago,44159,,NORMAL
they say speed cant hoop🏀?,rrVyB7o2hhc,4 years ago,1280814,,NORMAL
THEY SCAMMED ME OUT MY $1000 PS5.....💔! CONFRONTED THE SCAMMER (LIVE)! **COPS CAME**,dWCDYrTRbSQ,4 years ago,69270,,NORMAL
I BEEN EXPOSED BY (TRULY BLESSED)........💔! EXPOSING WHY I CRIED😔! **RAGE**,y5i4z0e1cro,4 years ago,27932,,NORMAL
DOING POST HOOKS IN REAL LIFE! POSTSCORES IN REAL LIFE irl NBA2K21  💔! **REAL LIFE GAMEPLAY**,3zyjRVrqg5k,4 years ago,89277,,NORMAL
my girlfriend broke up with me💔 **LEAKED**,k-O3XVxrUYg,4 years ago,70227,,NORMAL
they say speed dont get girls💔 **PROOF**,UmPGSaZbvL4,4 years ago,156169,,NORMAL
I GOT KICKED OUT THE XBOX COMMUNITY AFTER THIS IN NBA2K21💔! THEY MADE ME BREAK MY XBOX😡! **RAGE**,A62q6j0MTzA,4 years ago,35731,,NORMAL
UNBOXING MY NEW $5000 GAMING PC! (THEY SCAMMED ME)😔!,J2XqXpAEhDQ,4 years ago,190891,,NORMAL
Q&A........HOW MUCH MONEY I MAKE? **DAUGHTER REVEAL💔**,DNiOLSkH94Q,4 years ago,149517,,NORMAL
IShowSpeed Vs THE BEST POSTSCORER ON XBOX (Drew) BO5 WAGER IN NBA2K21! XBOX Vs PLAYSTATION💔!,4NZG7O63VOk,4 years ago,20179,,NORMAL
*NEW* ANIMATION CANCEL GLITCH IN NBA2K21! *NEW* TUTORIAL ON ANIMATION GLITCH🧀!,9ysAd6G8iWQ,4 years ago,21971,,NORMAL
I WENT TO XBOX AS A POSTSCORER IN NBA2K21! XBOX HAS NO COMP OVER THERE💔! **THEY BOOTED ME**,7GW9Abyexjg,4 years ago,28212,,NORMAL
I LET MY LITTLE BROTHER USE MY MODDED POSTSCORER ACCOUNT IN NBA2K21! **HE CRIED**😔,qvjUUbT37sY,4 years ago,57100,,NORMAL
THE REAL REASON WHY I GOT KICKED OUT THE HOUSE...💔!,hoBaZg0yZ3o,4 years ago,42140,,NORMAL
I LOST $500 DOLLARS FOR WAGERING ON MY GUARD IN NBA2K21💔! GUARD MIGHT TAKE SKILL😔! **EMOTIONAL**,_u407XcDpF4,4 years ago,28428,,NORMAL
THE FIRST LEGEND SLASHER TO DO THIS IN NBA2K21🧀! THIS *NEW* GLITCH IS GOING TO MAKE ME DO IT💔!,W4kfTSj2q18,4 years ago,23589,,NORMAL
EXPOSING MY SECRET........💔 (REACTION),WfxFpUthhgU,4 years ago,29470,,NORMAL
I DID A $400 WAGER ON MY GUARD NBA2K21😔! I MIGHT HAVE TO QUIT GUARD AFTER THAN THIS💔! (EMOTIONAL),xuWAsPbZQSs,4 years ago,16383,,NORMAL
NAME REVEAL💔.........SORRY😔,QBCQ9czjoMQ,4 years ago,144055,,NORMAL
THE DAY I QUIT POSTSCORER....💔! POSTSCORERS OFFICALY TAKE NO SKILL!,MwyOkF69M6A,4 years ago,23585,,NORMAL
2K LIED.........💔! ZENS ARE BACK AND BETTER IN NBA2K21! NEW ZEN SCRIPT IS A CHEAT CODE🧀!,086kp9BJr1k,4 years ago,43554,,NORMAL
THEY FINNALY PATCHED POSTSCORERS IN NBA2K21💔! RONNIE **CONFIRMED** THIS PATCH MADE ME QUIT😢!,I_vcFMy4l7g,4 years ago,16552,,NORMAL
I GOT TO QUIT YOUTUBE💔 (IShowSpeed EXSPOSED) **REACTION**,EtgGLT72WkQ,4 years ago,20310,,NORMAL
*NEW* SELF ALLY-OOP GLITCH ON THE 1s COURT IN NBA2K21! SLASHERS HAVE A NEW GAME BREAKING MOVE 🧀!,EKVhhA10LoQ,4 years ago,18763,,NORMAL
*NEW* PURE RED POSTSCORER BUILD IS A CHEAT CODE IN NBA2K21! THIS GLITCH NEEDS TO GET PATCHED NOW🧀!,ZAh2XGRuuCU,4 years ago,17085,,NORMAL
IShowSpeed RAGETAGE #2 NBA 2K21!,w901aaMkVa4,4 years ago,147160,,NORMAL
THE SAD TRUTH WHY I DONT PLAY GUARD...💔 **EMOTIONAL**,OJY8aVCJVQU,4 years ago,19292,,NORMAL
HOW I LOST MY V CARD STORYTIME👀 (VIDEO INCLUDED),cxEmvbtzuJM,4 years ago,124634,,NORMAL
Ronnie GAVE A POSTSCORER A LOGO IN NBA2K21 LIVE ON STREAM ! #1 FIRST POSTSCORER TO GET A LOGO!,BN-BudwG6hQ,4 years ago,48888,,NORMAL
I WENT VIRAL ON WORLDSTAR & GOT KICKED OUT THE HOUSE💔 (STORYTIME)!  *VIDEO INCLUDED*,tTXeqLEuAX4,4 years ago,95964,,NORMAL
IM THINKING ABOUT DOING IT...💔,cKc7BvCLDIU,4 years ago,17853,,NORMAL
MY GAMING SETUP TOUR👾+ ROOM TOUR🛌,srWJ_F5hMDI,4 years ago,54825,,NORMAL
I GOT SCAMMED BECAUSE IM A POSTSCORER💔! THIS MADE ME QUIT POSTSCORER IN NBA2K21😡! #SCAMMER,EeD3DhHYgoo,4 years ago,17548,,NORMAL
HE HAD A UNDERCOVER ZEN IN NBA2K21! THE MOST UNKOWN ZEN SCRIPT NOBODY HAS EVER SEEN THIS SCRIPT🧀!,cO83B8IO5Io,4 years ago,20234,,NORMAL
LOSE I LEFT THE COMMUNITY & QUIT POSTSCORER NBA2K21...💔!   **CRIED**,S2NHZEOm98c,4 years ago,21799,,NORMAL
IM DONE YALL SICK ASF OMM💔! **PROOF**,BPXO0Y8wqsA,4 years ago,116310,,NORMAL
THE BEST CRONUS *ZEN* SCRIPT I HAVE EVER SEEN  NBA2K21! EXCELLENT + DEFENSE SCRIPT IS UNSTOPPABLE🧀!,2T5QDG5J81E,4 years ago,16105,,NORMAL
MY LAST POSTSCORER BUILD IN NBA2K21💔! **VERY EMOTIONAL**,E2W2q2ADE_o,4 years ago,13650,,NORMAL
THIS *NEW* PLAYMAKING POSTSCORER IS UNSTOPPABLE🧀 IN NBA2K21! SPEEDBOOSTING POSTSCORER 99 SPEED🧀!,M6niHjlr2T8,4 years ago,11262,,NORMAL
I GOT EXPOSED........😢?,QQ8u8ZcCi-0,4 years ago,10753,,NORMAL
*NEW* DOUBLE POSTHOOK GLITCH IN NBA 2K21! 2 POSTHOOKS AT THE SAME TIME! POSTSCORER ARE NOW BROKEN🧀!,q_qVIebFRBI,4 years ago,10306,,NORMAL
THE CRONUS ZEN IS NOW WORKING ON POSTSCORERS IN NBA 2K21! THIS SECRET POSTSCORER SCRIPT IS CHEESY🧀!,CAsw8mnknAk,4 years ago,15322,,NORMAL
I PULLED UP ON A STEAMER USING THE HOMEMADE ZEN IN NBA2K21! RUBBERBAND ZEN METHOD CANT BE STOPPED🧀!,qBTrw0vRgq0,4 years ago,36982,,NORMAL
THIS *NEW* SLITHERY (GLITCH) NEEDS TO GET PATCHED IN NBA2K21! EVREY SLASHER IS DOING THIS GLITCH🧀!,liwcniJ2zIE,4 years ago,8508,,NORMAL
*NEW* JUMPSHOT GLITCH FOR POSTSCORERS IN NBA2K21! *NO ZEN NEEDED* THIS GLITCH NEED TO GET PATCHED🧀!,NTmUh8fVrFM,4 years ago,15488,,NORMAL
POSTSCORER & ZEN USER GOES TO THE COMP STAGE IN NBA2K21! MODDED CONTROLLER & POSTHOOKS *GLITCH🧀,e1LHWBTpTdk,4 years ago,6877,,NORMAL
THIS POSTSCORER DID THE *NEW* HOP STEP (GLITCH) IN NBA2K21! THIS MOVE IS UNSTOPPABLE🧀!,2FTIpdYlKWk,4 years ago,7393,,NORMAL
POSTSCORERS ARE NOT GOOD ANYMORE...💔! THIS UKNOWN BUILD IS TAKING OVER POSTSCORERS IN NBA 2K21🧀!,Diq5ft6VJNo,4 years ago,10511,,NORMAL
MOST CHEAPEST CONSOLE STREAMING PC FOR ONLY $200 IN 2021! BEST STREAMING SET UP FOR PS4/XBOX/PS5/!,kZU8nIl45uE,4 years ago,48316,,NORMAL
FIRST EVER DEMIGOD POSTSCORER BUILD IN NBA2K21! THIS POSTSCORER IS A CHEAT CODE🧀! *ZEN GAMEPLAY*,198gZeFWRHE,4 years ago,7652,,NORMAL
THIS 6’5 MIDGET POSTSCORER IS A GLITCH IN NBA2K21! SPEEDBOOSTING POSTSCORER ARE BACK IN NBA2K21!,QiUFReWf8xY,4 years ago,13096,,NORMAL
*NEW* BUILD THATS MORE TOXIC THAN A POSTSCORER IN NBA2K21! POSTSCORERS ARE USELESS ON THE 1s COURT!,ZMRx-uBpMpY,4 years ago,7641,,NORMAL
NBA 2K21 POSTSCORER MIXTAPE #1🏳️‍🌈! BEST POSTSCORER ON NBA 2K21😈BEST POSTSCORER ANIMATIONS *ZEN*!,0PgrreNhyG4,4 years ago,9721,,NORMAL
I MADE A HOMEMADE ZEN AND USED IT ON MY POSTSCORER IN NBA2K21! THIS RUBBERBAND METHOD TUTORIAL🧀!,q9LhJ3W9UAo,4 years ago,165716,,NORMAL
I WENT BACK TO THE COMPSTAGE ON NBA2K19 ON MY 98 OVERALL 7’3 POSTSCORER SLASHER! COMPSTAGE GAMEPLAY!,EUEN6t5wX7U,4 years ago,6844,,NORMAL
TROLLING TOXIC 9 YEAR OLD STREAMER USING A MODDED POSTSCORER ACCOUNT IN NBA2K21! THE ACCOUNT HACKED!,Ec3xgYyHw3g,4 years ago,7833,,NORMAL
TOP REP LEGEND POSTSCORER GETS EXPOSED IN NBA2K21? FIRST LEGEND POSTSCORER PULLS UP ON 50 STREAK!,edoDmzWMmxY,4 years ago,6419,,NORMAL
THE SHARPSHOOTING POSTSCORER BUILD IS BACK IN NBA 2K21! MIGHT BE THE BEST POSTSCORER BUILD EVER!,A6dasMKWR2A,4 years ago,6599,,NORMAL
THIS *NEW* GLITCH LETS YOU HAVE A ZEN FOR FREE IN NBA2K21! MODDED CONTROLLER ON LAYUPS GLITCH🧀!,B7rc0eFNtn4,4 years ago,7815,,NORMAL
THIS 5’7 POSTSCORER BUILD IS A CHEAT CODE IN NBA2K21! MIDGET POSTSCORER GLITCH IS UNSTOPPABLE!,tirDUzxXKss,4 years ago,7693,,NORMAL
THE SAD TRUTH ABOUT POSTSCORERS IN NBA2K21💔! I QUIT BEING A POSTSCORER IN NBA2K21😪! *SECRET TRUTH*,_YiVaP-yOcM,4 years ago,6183,,NORMAL
I USED A MODDED POSTSCORER ACCOUNT TO DROP A 100 GAME STREAK IN NBA2K21! USING A ZEN ON  POSTSCORER!,RCqwaJvwxGQ,4 years ago,11992,,NORMAL
IShowSpeed Vs PostHooking $500 POT WAGER IN NBA 2K21! DID HE REALLY LEAVE THE 2K COMMUNITY?,axZgwO8Z2vg,4 years ago,67499,,NORMAL
Q&A........AM I A VIRGIN? HOW OLD ARE YOU? ARE POSTSCORERS GAY🏳️‍🌈?,OMvPUvVks1g,4 years ago,150974,,NORMAL
I UNLOCKED A SECRET POST HOOK GLITCH IN NBA 2K21! WHY HAS NOBODY BEEN USING THIS GLITCHY POSTHOOK!,HLf77K2epG8,4 years ago,8218,,NORMAL
THIS *NEW* GLITCH IS UNSTOPPABLE IN NBA 2K21! IS HE USING A ZEN ON A POSTSCORER IS HE CHEATING?,-NZgyL2mqpA,4 years ago,7535,,NORMAL
STREAMER GETS CAUGHT USING A ZEN SO I PULLED UP ON MY MODDED POSTSCORER IN NBA 2K21!,8SECtG4k0sI,4 years ago,15824,,NORMAL
So The BEST 9 Year Old POSTSCORER Challenged me to a 1v1 in NBA 2K21 TOXIC! (HIS DAD CAME IN)..!,Fyh8lkc-WtE,4 years ago,8261,,NORMAL
HE MIGHT BE THE BEST POSTSCORER! THE MOST COMP POSTSCORER I’VE PLAYED IN NBA 2K21 (70 STREAK)!,fOwRHiAxFjk,4 years ago,5948,,NORMAL
MO BUCKETS EXSPOSED! BEST POSTSCORER DROPPS OFF THE BEST OLD HEAD IN NEXT GEN NBA 2K21!,AvNAUb5x3M8,4 years ago,8873,,NORMAL
I PLAYED GUARD FOR THE FIRST TIME IN NBA 2K21! POSTSCORER TAKES MORE SKILL THAN GUARD IN NBA 2K21!,nHFf13bZmLM,4 years ago,6047,,NORMAL
POSTSCORER GUARD BUILD THAN CAN SPEEDBOOST IN NEXT GEN NBA 2K21🧀! BEST POSTSCORER BUILD IN NEXT GEN,2v65wJVeygo,4 years ago,7699,,NORMAL
THIS POSTSCORER DID THE *NEW* SCREEN GLITCH IN NBA 2K21! POSTSCORERS ARE USING SCREEENS NOW *TOXIC*!,cn_egfT_TX8,4 years ago,7912,,NORMAL
SantanaDifferent EXSPOSED? TOP CLAN (SMG) PULLED UP ON THE BEST POSTSCORER IN NBA 2K21!,TT1KH-Enjgc,4 years ago,8461,,NORMAL
MIDGET POSTSCORER GLITCH IS BACK IN NEXT GEN NBA 2K21! THIS MIGHT BE THE BEST POSTSCORER BUILD!,9lQYL9VcskI,4 years ago,6838,,NORMAL
I WENT BACK TO NBA 2K19 AS A POSTSCORER AND THIS HAPPENED! ARE POSTHOOKS STILL GOOD UN NBA 2K19?,TywzZXKBqSU,4 years ago,6003,,NORMAL
TROLLING THIS 40 YEAR OLD DAD IN NBA 2K21! IM NOT THE BEST POSTSCORER ANYMORE💔!,BjeTjG8Ra-k,4 years ago,6610,,NORMAL
I TRIED OUT FOR THE  #1 TIK TOK CLAN ON A POSTSCORER IN NBA 2K21!,FufUpwUvgEs,4 years ago,6124,,NORMAL
THIS MAKES ME WANT TO QUIT POSTSCORER IN NBA 2K21..........💔! #stopbullying,Abk_E_dShy4,4 years ago,6792,,NORMAL
I TROLLED STREAMERS USING A MODDED POSTSCORER ACCOUNT IN NBA 2K21! USING A ZEN FOR POSTHOOKS IN NBA!,nXyY3zaBFe4,4 years ago,9719,,NORMAL
THIS MIGHT BE THE MOST TOXIC BUILD IN NBA 2K21! *NEVER SEEN BEFORE BUILD* IN NBA 2K21!,5sMgViZu3io,4 years ago,7840,,NORMAL
PEOPLE ARE STILL DOING THIS GLITCH IN NBA 2K21! ITS UNGUARDABLE IN CURRENT GEN NBA 2K21!,bOKhaA4KVf4,4 years ago,5983,,NORMAL
I MIGHT QUIT POSTSCORER AFTER THIS GAME IN NEXT GEN NBA 2K21...😪! I CANT NEVER GET RESPECT!,sF18dxR-FrQ,4 years ago,5368,,NORMAL
GUARDS ARE BETTER THAN POSTSCORER ON THE 1s COURT IN NEXT GEN NBA 2K21!,y6PNj49XdPA,4 years ago,4274,,NORMAL
STREAMER BREAKS CONTROLLER  BECAUSE OF MY POSTSCORER IN NEXT GEN NBA 2K21! MOST TOXIC STREAMER EVER!,lcPnihSTDzY,4 years ago,9704,,NORMAL
THIS 6’7 DEMIGOD BUILD NEEDS TO GET PATCHED NEXT GEN NBA 2K21 NOW😤! THIS BUILD CANT BE GUARDED!,jSVOeRty6k0,4 years ago,4558,,NORMAL
I RETURNED TO NBA2K20 AS A LEGEND POSTSCORER AND THIS HAPPENED! THIS BUILD NEVER TOOK SKILL IN 2K20!,ubz2lbF15B4,4 years ago,8812,,NORMAL
POSTSCORERS GOT PATCHED IN NEXT GEN NBA 2K21💔! POSTSCORERS ARE USELESS ON THE 1s COURT IN NBA 2K21!,ePcQhuLziZE,4 years ago,5323,,NORMAL
HOW TO BECOME A COMP POSTSCORER IN NEXT GEN NBA2K21!BEST POSTHOOK! *HANDCAM* + BEST POST ANIMATIONS!,i5PJxIlVAd4,4 years ago,14758,,NORMAL
2K ADDED THIS GLITCH FOR POSTSCORERS IN NBA 2K21! CURRENT GEN POSTSCORERS TAKE NO SKILL AFTER THIS!,w90BkP9HpsM,4 years ago,8315,,NORMAL
TOXIC STREAMER COULDNT BELIEVE MY POST HOOKS! I WAS USING A MODDED CONTROLLER IN NBA 2K21 *RAGE* !,yMbsMXYnFlk,4 years ago,7145,,NORMAL
I WENT BACK TO CURRENT GEN AND PLAYED THE TOP TOP POSCORER IN NBA 2K21! THE FIRST LEGEND POSTSCORER!,heLsaiqKdjw,4 years ago,7010,,NORMAL
iRunYew EXSPOSED “DRIBBLE GOD”! BEST POSTSCORER DROPPS OFF THE BEST DRIBBLER IN NEXT GEN NBA 2K21!,mbwBAYD38NU,4 years ago,9373,,NORMAL
I WAGERED A POSTSCORER IN NEXT GEN NBA 2K21 FOR $500💔! WHY YOU SHOULD NEVER WAGER POSTSCORERS!,N5a4sm2XUws,4 years ago,4792,,NORMAL
IM QUITTING💔💔,7JDNwG__0ak,4 years ago,20056,,NORMAL
POSTHOOKS ARE USELESS NOW! THIS SECRET BADGE IS THE NEW META FOR POSTSCORERS IN NEXT GEN NBA 2K21!,cPSAHObT3ac,4 years ago,6552,,NORMAL
